Time;GPS4;GPS5;GPS9;GPS11;GPS12;GPS18;GPS20;GPS25;GPS26;GPS28;GPS29;GPS31;GLONASS2;GLONASS3;GLONASS4;GLONASS9;GLONASS10;GLONASS11;GLONASS21;GLONASS25;
24.04.2024 09:27:13.800;171.769812956787;-272.113515493926;-27.4368263515644;-197.290299643952;-236.829471685996;87.4272312764224;-238.24717126762;-128.09372547525;256.028010365757;228.328694991011;32.056679697198;258.540918012281;127.751150633412;-137.156313282409;-307.380303911064;-83.9456278419675;50.3571357252367;196.716148281994;219.51747301365;0;
24.04.2024 09:27:13.900;171.646500791394;-272.519395029609;-26.6882613560301;-197.982513973897;-236.869975350084;88.1553520251764;-238.422789819044;-127.545667106198;256.042037752341;227.950238126068;32.1802603383258;259.360350352523;127.894653312978;-137.396291215511;-307.840212048934;-84.4629449677159;50.5501540147088;196.122462560073;219.826041593231;0;
24.04.2024 09:27:14.000;171.881029770433;-272.93006485868;-26.3164023456338;-198.142439005489;-237.100480072069;87.1134940452612;-238.702401507471;-127.871609801412;257.12185507502;227.920788205403;32.1012786588399;259.383246089608;127.565397016428;-136.232652866427;-307.944865846119;-84.4121485321375;49.5026298138982;196.543140299633;220.520205860768;0;
24.04.2024 09:27:14.100;170.845209531733;-272.725271583302;-25.8478935588791;-198.136138636488;-237.29345959815;87.2632842936;-238.138978352785;-127.887687582755;256.044383653352;228.138099304691;32.4399887084874;260.25814808844;127.146800362199;-136.984415050552;-308.024352093809;-84.3601643601287;50.8687200560817;196.784693903712;219.609032914683;0;
24.04.2024 09:27:14.200;171.948788038993;-272.647395083171;-26.1300423929642;-198.460163015377;-237.327890007189;87.2987343931018;-238.506186519051;-127.991518928524;255.490867009299;227.386118289985;32.2561474609101;259.321005849939;126.121327684159;-135.999002798591;-308.512265177269;-83.3645349900762;51.6126302092161;197.786575981241;219.716803995441;0;
24.04.2024 09:27:14.300;170.425850187516;-272.623696727111;-26.6044468361797;-198.091430229906;-237.310909353109;87.2985790271632;-238.774949721934;-128.587036653626;255.42611883214;227.374452429547;32.1411341101921;259.393655464315;127.58063166491;-136.987056393293;-307.426192569619;-80.363204883979;50.910718189436;197.657888370231;218.559895093407;0;
24.04.2024 09:27:14.400;170.048577165348;-273.049111313434;-25.8103281480871;-197.439867632173;-237.949240631875;87.4434841630573;-238.761604633022;-128.522246550885;255.212373071001;227.26447098123;32.4704791835538;260.635776796335;127.691150259256;-136.539147285454;-307.529423598273;-80.9795062654884;50.4216273367492;198.06326678973;217.329270312533;0;
24.04.2024 09:27:14.500;171.92083716036;-272.993654058882;-26.762966655966;-197.614077331091;-237.41351294484;87.251414169019;-238.825271444832;-128.743862394316;254.796296597531;227.374586164646;32.0786209281068;260.364857400156;127.199999695295;-136.402434198491;-307.595180831268;-81.5643228368863;50.5327216302394;198.076983676263;218.318965275117;0;
24.04.2024 09:27:14.600;172.027301636917;-272.890128819417;-26.9362172831752;-198.090527362365;-237.233777722417;87.7915227732446;-238.802168769325;-128.464534346742;254.971234768353;228.833911711976;32.274547697365;260.948153800084;125.791291864589;-136.599006712218;-306.011687415346;-82.3136265320209;50.2505820991209;197.197283365967;217.255845245192;0;
24.04.2024 09:27:14.700;171.62220844574;-272.329715337008;-26.559816199966;-197.704915300958;-236.851314016909;87.7278414790489;-239.056939273622;-128.207794924005;254.536125095605;228.097002797091;32.2289385926124;261.058689329424;126.814818667932;-136.929898072471;-305.916660424657;-82.1440580446797;49.198574556809;196.924228366915;217.492684263008;0;
24.04.2024 09:27:14.800;171.923031545477;-271.98962683251;-26.811631060089;-198.08780013588;-237.264117963889;87.7262248382467;-238.803810662968;-128.363059597905;256.033519608056;227.65245595717;32.3348377996881;260.750742537959;127.581753202496;-135.655996746791;-306.446382745562;-83.4326625806279;50.3749419636151;195.228544320707;217.24903655269;0;
24.04.2024 09:27:14.900;171.504335565172;-272.479862011853;-26.6138300915336;-198.167342489032;-237.049591710966;87.2875974239869;-239.44423417779;-127.99939210937;255.390823309979;227.957534159796;32.5518517135351;260.328681501458;126.813557651782;-136.846904806618;-306.693906410612;-83.8694540171273;52.9418424109754;195.706312838913;218.68198124913;0;
24.04.2024 09:27:15.000;171.620989499468;-272.563541933108;-26.4863160980749;-198.53839506206;-237.27626145244;87.157178894573;-239.597428768102;-127.981458719951;255.952451861522;228.20453229238;32.4500151875109;259.788246096345;125.654178588156;-136.645557506403;-306.930305920512;-83.2188582175295;54.59860348246;195.343363497595;218.468564278082;0;
24.04.2024 09:27:15.100;172.19346999457;-272.841828205666;-26.3377309460775;-199.298468653738;-237.511004030894;87.3333914898976;-239.633716485332;-127.831167615062;256.379755711358;228.125057539699;32.2975638911012;259.715452449585;127.477707142345;-136.864277782151;-307.109192335251;-83.7758702764841;51.8150876438449;196.599410024937;219.266360443071;0;
24.04.2024 09:27:15.200;171.584591991152;-272.472621009947;-27.2326537943445;-199.37762022324;-237.136563896245;87.2193343969557;-239.370540744771;-127.836638125475;255.835999957591;228.702112840299;32.5558615461778;259.744236623854;128.125697792348;-136.621992657936;-306.526370214764;-83.1664463267225;51.5941354850802;196.61112439273;217.76835196733;0;
24.04.2024 09:27:15.300;171.646759547177;-272.304647207187;-27.8043466736854;-198.266515463445;-237.016659222922;86.36500409976;-239.341846857322;-128.100113875858;256.491362387707;228.496378196127;32.5710458738031;260.452883635226;129.573471745316;-137.127180141251;-306.393314111832;-84.0020991559722;51.9178275961021;195.456136826469;217.385852801744;0;
24.04.2024 09:27:15.400;171.952532073716;-271.868968705268;-27.3050639599533;-197.795626796767;-237.188999893056;87.3588662017137;-238.973768483236;-127.936803705132;257.774502897519;227.859874264206;32.8480307426944;260.964264124865;127.730118758685;-137.680061479346;-306.885638783526;-84.2729508306802;51.9659948208719;195.015405002632;216.438293750587;0;
24.04.2024 09:27:15.500;172.357850799992;-271.915224109369;-27.251913273285;-197.776242821448;-236.763358241718;87.3167650277464;-238.443341542152;-127.565714683704;257.113048432759;227.395026613041;32.6881415678654;260.05206814954;127.655985045421;-137.984000760684;-307.772663260534;-84.1500415684713;50.7221815804951;195.33673700651;218.984696037805;0;
24.04.2024 09:27:15.600;171.819436794496;-271.882802520544;-27.3421046972362;-197.614774006986;-236.944903751835;86.9012404000823;-238.667931338088;-127.751319686242;257.148165513921;227.758380972169;32.7928920915874;259.317187557492;126.826813572538;-137.151613118738;-308.871514516242;-82.476170364971;51.4271466490172;196.465101500129;218.246768949582;0;
24.04.2024 09:27:15.700;170.764890188031;-272.13555606312;-26.9921467570821;-197.31831921039;-237.431948221332;87.1394742424163;-238.97710628662;-128.287864696787;257.189228883537;226.994184537049;32.3787207305577;259.382087486447;126.698494787255;-137.330514973102;-308.060770773634;-81.5188769743836;51.675449092756;197.58096274783;218.249611260733;0;
24.04.2024 09:27:15.800;170.723310270288;-272.148691015012;-26.5856163931894;-197.795095302587;-237.477850688229;87.6059202666511;-238.855066280084;-127.706207635638;257.590150902935;227.057243382544;32.662941627932;258.966810545448;127.0733217261;-136.985612490651;-307.594708136516;-81.8685981678282;50.9725875933218;196.166226724439;218.198933069827;0;
24.04.2024 09:27:15.900;171.458650075161;-272.395090261605;-26.4215170985262;-197.92908244225;-237.675411859091;87.9685977973859;-238.999538782547;-128.113103859956;258.261782346701;227.528636902352;32.4561680359475;259.322280882247;125.116042942245;-137.956841558916;-307.136771615609;-81.0272664954682;52.3532537453138;196.13396596392;217.055245282798;0;
24.04.2024 09:27:16.000;171.18777485154;-272.508376244441;-27.2457003190793;-198.100386165839;-238.422724998542;88.512940357934;-239.143077019107;-127.649205013076;255.355426591777;228.444971870151;32.2207116173086;259.39086223206;125.971736450301;-137.593406867236;-305.915865059651;-81.4585505459254;51.6569561529322;196.978163537511;218.317748571411;0;
24.04.2024 09:27:16.100;171.646325473703;-272.716549039862;-26.435141592985;-198.195243928785;-238.008129972746;87.6229121684591;-239.276845660876;-127.945543869122;256.00897054057;228.510984312044;32.2951793238753;260.626390017176;126.531391026801;-138.42571375992;-306.69322882597;-81.5227403080935;51.2758821154857;196.21038853738;218.490713442879;0;
24.04.2024 09:27:16.200;172.38066900475;-272.666799841798;-26.4550797270203;-198.187620609504;-237.418892581918;87.9027582722774;-239.027050101024;-127.824880165383;254.97511035981;228.06149607712;32.312878622819;260.284816270767;126.191476729437;-136.39851835095;-306.591807460602;-81.9972466291802;50.1328297067957;196.449876440893;217.875983982769;0;
24.04.2024 09:27:16.300;172.132780461354;-272.23810777461;-26.3990377692971;-198.313248502818;-237.325445386421;87.3839506219665;-238.848270751099;-127.921670827171;255.034020967738;227.733172304535;32.4397993860039;260.148012981968;127.69320498353;-135.171180456993;-307.978851961248;-82.3833084739017;48.8884470527846;197.502866610637;217.622866532809;0;
24.04.2024 09:27:16.400;172.252042712498;-272.488423619012;-26.2457148349058;-198.041177372579;-237.316755017557;87.5837503268704;-238.653252148986;-127.848866411383;255.844254432654;227.688217434014;32.6612674965581;260.561057403771;127.682209433508;-135.510852969528;-309.058294986709;-83.8378108822071;50.4780209240562;195.886091947032;218.364236132285;0;
24.04.2024 09:27:16.500;171.513565658315;-272.217316685608;-26.1347510148189;-198.056672053921;-237.367576961798;87.2652804168174;-238.455721808772;-127.776087679682;255.710251508091;228.146741764664;32.9275805094803;260.206124168486;126.534492679741;-135.998255979808;-308.740629257081;-81.7846481682209;50.1690859919618;196.085702150434;217.972834761706;0;
